"Id","Name","Website","Logo","Description","Headquarters","Location","Twitter","Facebook","Instagram","LinkedIn","Medium","Youtube","Email","AngelList","ProductHunt","Phone","InvestmentTypes","InvestmentStages","FacebookReview","FacebookLikes","FacebookCheckIns","Founded","MembersCount","Tags","LastActivity","CreatedTimeStamp","UpdatedTimeStamp"
"93a7c0f6-d782-47f5-b675-054123fc0b11","Aberdare Ventures","http://aberdare.com","","","235 Montgomery Street Suite 1230 San Francisco, CA 94104 United States","","","","","","","","","","","","Venture Capital","Series A","","","","","1-10","HealthTech
AgriTech
Technology
Human
BioTech
Development
Personal
Drug
Platform
IT","7/23/2020 4:00:18 AM","5/30/2020 8:03:02 AM","3/10/2022 9:13:30 AM"
"11fc15b0-8558-4fc8-ba52-2f31c7cdcad3","Connecticut Center for Advanced Technology","http://ccat.us/","https://parsers.vc/logo/11fc15b0-8558-4fc8-ba52-2f31c7cdcad3-1.jpg","Our Mission: To develop direct strategies to advance and adopt applied technologies that drive innovation processes and value-driven solutions to businesses.","222 Pitkin Street Suite 101 East Hartford, CT 06108 United States","United States, Connecticut, East Hartford","https://twitter.com/CCATInc","https://www.facebook.com/CTCenterforAdvancedTech","","https://www.linkedin.com/company/ccat","","http://www.youtube.com/CCAT Media","info@ccat.us","","","+1 860-291-8832","Accelerator","","","347","","2004","11-50","","","5/3/2020 12:00:00 AM","3/17/2022 11:00:25 AM"
"f7e4e6d3-0cc5-45ce-93bf-bd70bf647dab","Great Point Partners","http://gppfunds.com","","","","","","","","","","","","","","","Hedge Fund","","","","","","","Service
HealthTech
MedTech
Manufacturing
Development
Physical
Product
Provider
Care
Research","1/24/2024 2:44:45 AM","2/24/2022 6:28:09 AM","1/24/2024 2:45:12 AM"
"21cae43e-454b-4cd1-819d-edf86745de60","The Accelerator","http://theaccelerator.tech","https://parsers.vc/logo/21cae43e-454b-4cd1-819d-edf86745de60-1.png","The Accelerator is a Canadian seed accelerator that provides curriculum, services, seed money, mentors & connections to startups through 5-month programs.

Want to know more? Sign up for our newsletter http://bit.ly/2hBrjkH","United States","Canada, Alberta, Calgary","https://twitter.com/TheAccelerator_","https://www.facebook.com/TheAccelerator.Tech","https://www.instagram.com/the_accelerator_tech","","","","thomas@theaccelerator.tech","","","+1 403-652-8947","Accelerator","","","220","","","","","","5/3/2020 12:00:00 AM","3/10/2022 11:34:11 AM"
"a4eaacbb-9bd6-4c90-85b0-0d9ddbf463cb","AHR Growth Partners","http://www.ahrgrowthpartners.com","","CAPITAL + GUIDANCE FOR EMERGING BRANDS    Learn More","","","","","","","","","cspahr@ahrgrowthpartners.com","","","","","","","","","","1-10","E-commerce
Product
Clothing
Service
FoodTech
Brand
Pet
BabyTech
Shop
Beauty","7/10/2022 7:10:06 AM","3/9/2021 8:12:23 AM","7/10/2022 8:06:29 AM"
"514d1a13-f542-4a4b-9602-0a3f95368a4a","Friendly Hill Capital","http://www.friendlyhillcapital.com","","","","","","","","","","","","","","","","","","","","","1-10","FinTech
Service
HealthTech
Investment
Platform
Medtech
Product
Technology
Doctor
App","5/12/2021 8:36:51 PM","10/25/2020 4:59:09 PM","6/23/2021 2:13:59 PM"
"ff81724a-50bd-4280-b4b8-05f4fc1fb32d","Panakes Partners","http://www.panakes.it","","","Via Boscovich 31 20124 Milan Italy","Italy, Lombardy, Milan","","","","","","","","","","","Venture Capital","Pre-Seed
Series A
Seed","","","","","11-50","MedTech
Hardware
Technology
Product
Platform
IT
HealthTech
Development
Robotics
Care","7/17/2024 12:00:00 AM","5/3/2020 12:00:00 AM","7/18/2024 10:21:21 AM"
"5fc3739a-d25e-4be0-9c58-041daad942bd","Zenith Venture Capital","http://www.zenithgroup.se","https://parsers.vc/logo/5fc3739a-d25e-4be0-9c58-041daad942bd-4.jpg","Zenith Group invests in Nordic entrepreneurial startup- and growth companies. Our business concept is to be an active owner that contributes capital, networks and industrial expertise in order to achieve growth and develop the value of the companies in which we invest.

With nearly two decades of experience in building successful companies through Varenne and recently Zenith VC - Zenith Group was founded in 2018. The new Zenith Group focuses on three types of investments; Venture Capital, Growth and Real Estate.

Our vision is to create an eco-system for entrepreneurs where Zenith Group can assist from seed- or some times even pre-seed rounds through A- and B-rounds to exit. Exiting entrepreneurs then get the chance to reinvest into new startup- and growth companies through Zenith Group and contribute with her/his experience and expertise to the next generation of entrepreneurs.

Zenith Group manages three listed funds: Zenith Venture Capital, Zenith Growth and Zenith Real Estate.","Norrlandsgatan 15 Postal Box 16431 103 27 Stockholm Sweden","Sweden, Stockholm","","","","https://www.linkedin.com/company/zenith-group-vc","","","info@zenithgroup.se","","","","Venture Capital","","","","","","1-10","App
Platform
FinTech
eSports
IT
EdTech
Messanger
Service
Mobile
Content","2/25/2022 10:22:11 AM","10/25/2020 5:29:00 PM","3/14/2022 5:20:57 PM"
"bd6da834-6206-43f6-8cb4-04438d21ba12","AdFirst.vc","https://adfirst.vc","https://parsers.vc/logo/bd6da834-6206-43f6-8cb4-04438d21ba12-1.jpg","ADFirst - co-investments that help dramatically boost startups capitalization by using unique marketing experience","","","","https://www.facebook.com/adfirstvc","","","","","welcome@adfirst.vc","","","","","","","84","","","1-10","Service
Mobile
Platform
Business
FinTech
App
Video
Online
Corporate
eSports","11/19/2022 11:08:07 AM","11/18/2021 5:15:37 AM","10/16/2023 4:32:33 PM"
"f30eac33-2a0b-452c-8cd9-0ab8b55f9cfd","DFS Lab","https://dfslab.net","https://parsers.vc/logo/f30eac33-2a0b-452c-8cd9-0ab8b55f9cfd-4.jpg","DFS Lab invests in early-stage founders building the future of digital commerce in Africa","","United States, Washington, Seattle","https://twitter.com/TheDFSLab","https://www.facebook.com/thedfslab","","https://www.linkedin.com/company/dfslab","http://medium.com/dfs-lab","","","","","","Accelerator
Venture Capital","Seed
Pre-Seed
Series A","","954","","2016","11-50","FinTech
Service
FoodTech
AfricaTech
Mobile
E-commerce
Business
IT
Data
Platform","7/17/2024 12:00:00 AM","8/20/2021 4:25:59 AM","7/18/2024 8:57:15 AM"
"e9e7abad-361d-4529-a353-ebcca555f058","Dixon Midland","https://dixonmidland.com","https://parsers.vc/logo/e9e7abad-361d-4529-a353-ebcca555f058-4.jpg","At Dixon Midland, we strive to provide attractive, uncorrelated, long-term investment returns through private equity, non-control equity, and hedge fund strategies.","","United States, Illinois, Chicago","","","","https://www.linkedin.com/company/dixon-midland-company","","","info@dixonmidland.com","","","","Hedge Fund","","","","","1998","1-10","","11/16/2021 7:51:51 AM","11/16/2021 2:18:41 PM","3/15/2022 4:15:54 PM"
"b69f72c2-b30a-45a0-b301-037212478fb5","Jenson Funding Partners","https://jensonfundingpartners.com","https://parsers.vc/logo/b69f72c2-b30a-45a0-b301-037212478fb5-4.jpg","Jenson Funding Partners LLP was established in 2012 to raise capital and provide strategic investment advice under the then new Seed Enterprise Investment Scheme (SEIS) tax efficient wrapper.  The first SEIS fund launched in the same year, closing oversubscribed with over £5 million invested in 35 SEIS qualifying companies.  Since then, we have raised over £18 million, which has been deployed in 115 companies.

Jenson Funding Partners is a conviction investment Company. To continue to fund the companies, we launched our EIS Fund in 2015.  We believe that there is a recognisable funding gap between SEIS and mature EIS companies; a gap that the established EIS investment companies ignore.  The opportunity afforded to Jenson is the ability to fund these companies at a fair value, rather than paying a premium due to the demand created at the mature end of the investable market.

Jenson Funding Partners access the potential investee companies from a number of sources and reviews over 1,000 pitches a year. Having made an investment they then wrap a support structure around that business to give it the greatest chance of achieving its growth potential.","Runway East 58 City Road London EC1Y 2AL England, United Kingdom","United Kingdom, England, Oxford","https://twitter.com/jensonfunding","","","https://www.linkedin.com/company/jenson-funding-partners","","","","","","","Venture Capital","Pre-Seed
Series A
Seed","","","","2012","11-50","Office
FinTech
Technology
Business
Learn
Media
Software
Website
Content
Online","3/12/2024 12:23:44 PM","8/20/2020 6:21:17 AM","3/15/2024 1:03:15 PM"
"f0f5b675-7642-4fe4-bf92-0666701842d5","Momentum Invest","https://momentuminvest.fr","https://parsers.vc/logo/f0f5b675-7642-4fe4-bf92-0666701842d5-4.jpg","Momentum Invest est un nouvel acteur dans l’univers du Private Equity, né de l’association d’un entrepreneur reconnu (Pierre le Tanneur) et de trois professionnels du capital-investissement (Alain Cochenet, Tristan Parisot et Arthur Bureau). Le fonds investit dans des PME françaises à fort potentiel, opérant dans les secteurs les plus attractifs du marché des Services.

L’ambition de Momentum Invest est d’apporter une réelle valeur ajoutée aux dirigeants et de les accompagner dans la transformation de leur entreprise en leur donnant les moyens :

•	D’accélérer leur croissance organique
•	De mettre en place un programme d’acquisitions ambitieux et rigoureux
•	De se développer à l’international 
•	De se digitaliser
•	Et de bénéficier d’un accompagnement adapté à leurs besoins

Pour cela, un tandem constitué d'un entrepreneur et d'un professionnel du capital-Investissement, apportant une double compétence opérationnelle et financière, accompagne systématiquement les équipes de direction.

Momentum Invest met également à disposition des dirigeants un écosystème exceptionnel, afin de nourrir leurs réflexions stratégiques.","","France, Ile-de-France","","","","https://www.linkedin.com/company/momentum-invest","","","contact@momentuminvest.fr","","","","Venture Capital","","","","","2017","1-10","Service
Management
Software
Production
Fitness
AdTech
IT
Agency
Product
Content","7/29/2024 12:01:32 PM","2/19/2021 5:37:29 AM","7/29/2024 12:01:33 PM"
"913749ce-f7ab-4096-9904-0afc4364d509","ND CAPITAL","https://nd.capital","https://parsers.vc/logo/913749ce-f7ab-4096-9904-0afc4364d509-3.png","","","","","","","","","","as@nd.capital","","","","","","","","","","1-10","Platform
HealthTech
Human
Drug
BioTech
Technology
MedTech
Tools
Engineering
Development","4/13/2024 8:46:26 AM","11/2/2021 12:33:18 PM","9/2/2024 2:00:49 PM"
"947f9cbb-2ba2-445e-b142-022fc3dd5cf1","Sentica Partners","https://sentica.fi","https://parsers.vc/logo/947f9cbb-2ba2-445e-b142-022fc3dd5cf1-4.jpg","WE BELIEVE THAT BETTER BUSINESSES ARE BUILT BY COMBINING PASSION, PEOPLE AND RESOURCES.

Sentica is an independent private equity company focusing on investing in and developing small and mid-sized companies with a Finnish origin. We are dedicated to driving real change and success in the companies we invest in. We focus on identifying business opportunities in companies and in teaming up with people with whom we share passion and a strategic vision. We are a long-term responsible owner and a good partner to all stakeholders who we work with. Together we can reach the next level.

To date, we have raised five funds with a total of EUR 500 million in capital commitments from leading Finnish institutional investors and high-quality European fund of funds.","","Finland, Mainland Finland, Helsinki sub-region","","","","https://www.linkedin.com/company/sentica-partners","","","","","","","Venture Capital
Fund of Funds","","","","","2004","11-50","Service
Training
Engineering
Industry
Dental
Simulation
Product
Care
Business
EnergyTech","8/20/2021 1:58:29 PM","8/23/2021 6:43:47 AM","3/17/2022 10:06:22 AM"
"8f2c7ebf-fe05-4e4d-94f1-0e392972015c","UNIIQ","https://uniiq.nl","https://parsers.vc/logo/8f2c7ebf-fe05-4e4d-94f1-0e392972015c-3.png","UNIIQ is een investeringsfonds van € 22 mln. gericht op de proof-of-concept fase. UNIIQ helpt ondernemers in Zuid-Holland","","","","","","","","","thijs.vandenmunckhof@uniiq.nl","","","","","","","","","","1-10","Technology
EnergyTech
HealthTech
Life
Quantum
Product
Virtual
Industry
Development
Active","11/6/2023 12:00:00 AM","12/29/2020 4:39:57 PM","11/12/2023 3:32:49 AM"
"f8443197-5504-4a79-8a5f-0b0122a90594","Active Capital","https://www.activecapital.com","https://parsers.vc/logo/f8443197-5504-4a79-8a5f-0b0122a90594-3.svg","Active Capital is a venture firm focused on leading seed rounds for B2B SaaS companies outside of Silicon Valley.","454 Soledad Street San Antonio, TX 78205 United States","","","","","","","","","","","","","Seed","","","","","1-10","Platform
Software
Business
Service
AdTech
IT
E-commerce
Management
Technology
Data","8/7/2021 8:10:24 PM","5/3/2020 12:00:00 AM","3/10/2022 2:49:21 PM"
